TMRCA	Mean  = 1.231254	Stdev = 0.428919	95%CI = 0.557664 2.209467
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	39702.320000	39305.297179	-nan	-nan
2	19384.124000	37992.883779	-nan	-nan
3	12347.684000	35931.761500	-nan	-nan
4	9572.355000	36757.842378	-nan	-nan
5	7189.078000	34148.120500	-nan	-nan
6	6213.849000	35046.107530	-nan	-nan
7	5437.097000	35395.502714	-nan	-nan
8	4473.976000	32928.463957	-nan	-nan
9	3792.999000	31064.660218	-nan	-nan
10	3759.868000	33838.812000	-nan	-nan
11	2834.800000	27752.691892	-nan	-nan
12	2932.103000	30963.008910	-nan	-nan
13	2713.505000	30689.742689	-nan	-nan
14	2547.489000	30671.767463	-nan	-nan
15	2157.446000	27507.436500	-nan	-nan
16	2431.425000	32678.350980	-nan	-nan
17	2379.602000	33576.183403	-nan	-nan
18	1781.242000	26291.132328	-nan	-nan
19	1939.735000	29852.522316	-nan	-nan
20	1871.833000	29949.328000	-nan	-nan
21	1761.921000	29230.269659	-nan	-nan
22	1433.985000	24607.182381	-nan	-nan
23	1891.941000	33506.273378	-nan	-nan
24	1527.910000	27869.078050	-nan	-nan
25	1433.035000	26869.406250	-nan	-nan
26	1328.613000	25562.513816	-nan	-nan
27	1143.903000	22546.327083	-nan	-nan
28	1229.598000	24788.695492	-nan	-nan
29	1518.773000	31271.536302	-nan	-nan
30	1228.075000	25789.575000	-nan	-nan
31	952.044000	20364.220579	-nan	-nan
32	1307.418000	28449.415979	-nan	-nan
33	1110.910000	24562.220778	-nan	-nan
34	1028.911000	23088.763389	-nan	-nan
35	901.067000	20499.274250	-nan	-nan
36	967.037000	22280.533365	-nan	-nan
37	1126.308000	26254.238878	-nan	-nan
38	1329.518000	31323.443370	-nan	-nan
39	826.632000	19665.576037	-nan	-nan
40	1014.220000	24341.280000	-nan	-nan
41	1123.450000	27176.256100	-nan	-nan
42	890.627000	21695.674264	-nan	-nan
43	1022.613000	25064.244864	-nan	-nan
44	1097.569000	27044.099490	-nan	-nan
45	854.351000	21145.187250	-nan	-nan
46	974.778000	24213.485669	-nan	-nan
47	858.190000	21377.512769	-nan	-nan
48	984.831000	24581.380858	-nan	-nan
49	1209.672000	30229.703003	-nan	-nan
50	373.727000	18686.350000	-nan	-nan
