TMRCA	Mean  = nan	Stdev = nan	95%CI = 0.589185 11.315304
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	32529.598000	32204.302330	-nan	-nan
2	17394.140000	34092.515064	-nan	-nan
3	12673.437000	36879.702758	-nan	-nan
4	8422.188000	32341.201197	-nan	-nan
5	6885.363000	32705.474250	-nan	-nan
6	6286.509000	35455.909921	-nan	-nan
7	5645.910000	36754.875392	-nan	-nan
8	5273.044000	38809.604544	-nan	-nan
9	4956.273000	40591.873790	-nan	-nan
10	4014.342000	36129.078000	-nan	-nan
11	4894.559000	47917.732423	-nan	-nan
12	3358.359000	35464.272449	-nan	-nan
13	3721.134000	42086.027101	-nan	-nan
14	3058.918000	36829.372603	-nan	-nan
15	3235.989000	41258.859750	-nan	-nan
16	3056.944000	41085.326077	-nan	-nan
17	3401.936000	48001.315792	-nan	-nan
18	2957.335000	43650.265277	-nan	-nan
19	1919.185000	29536.257809	-nan	-nan
20	2734.395000	43750.320000	-nan	-nan
21	2980.494000	49446.395915	-nan	-nan
22	1998.603000	34296.027175	-nan	-nan
23	2241.403000	39695.245078	-nan	-nan
24	1967.706000	35890.956990	-nan	-nan
25	1765.348000	33100.275000	-nan	-nan
26	1473.807000	28356.046343	-nan	-nan
27	1817.696000	35826.786496	-nan	-nan
28	1926.698000	38842.231386	-nan	-nan
29	1333.611000	27459.050693	-nan	-nan
30	2460.151000	51663.171000	-nan	-nan
31	1341.233000	28688.973051	-nan	-nan
32	2617.961000	56966.831959	-nan	-nan
33	2031.231000	44910.518650	-nan	-nan
34	1957.218000	43919.972965	-nan	-nan
35	2177.959000	49548.567250	-nan	-nan
36	2468.379000	56871.454420	-nan	-nan
37	2400.052000	55945.210838	-nan	-nan
38	2440.828000	57505.906376	-nan	-nan
39	2307.012000	54883.817592	-nan	-nan
40	1717.792000	41227.008000	-nan	-nan
41	1435.796000	34731.906007	-nan	-nan
42	2780.654000	67736.733137	-nan	-nan
43	1450.815000	35559.475982	-nan	-nan
44	2404.389000	59244.143492	-nan	-nan
45	1612.032000	39897.792000	-nan	-nan
46	1092.907000	27147.810047	-nan	-nan
47	1682.238000	41904.548323	-nan	-nan
48	1965.208000	49051.589881	-nan	-nan
49	1268.681000	31704.337900	-nan	-nan
50	618.003000	30900.150000	-nan	-nan
