TMRCA	Mean  = nan	Stdev = nan	95%CI = nan nan
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	15013.770000	14863.632443	-nan	-nan
2	7919.539000	15522.296742	-nan	-nan
3	5447.633000	15852.612498	-nan	-nan
4	4262.503000	16368.011154	-nan	-nan
5	3768.892000	17902.237000	-nan	-nan
6	2989.501000	16860.785241	-nan	-nan
7	2569.712000	16728.825708	-nan	-nan
8	1967.062000	14477.576583	-nan	-nan
9	2368.405000	19397.235956	-nan	-nan
10	1888.400000	16995.600000	-nan	-nan
11	1656.787000	16219.944667	-nan	-nan
12	1356.270000	14322.211769	-nan	-nan
13	1375.324000	15554.915017	-nan	-nan
14	1411.074000	16989.330906	-nan	-nan
15	1086.791000	13856.585250	-nan	-nan
16	1269.816000	17066.326507	-nan	-nan
17	914.095000	12897.880136	-nan	-nan
18	1267.787000	18712.536410	-nan	-nan
19	1072.219000	16501.450778	-nan	-nan
20	1126.418000	18022.688000	-nan	-nan
21	806.428000	13378.640643	-nan	-nan
22	1368.000000	23474.879791	-nan	-nan
23	931.260000	16492.613747	-nan	-nan
24	1234.504000	22517.352677	-nan	-nan
25	741.286000	13899.112500	-nan	-nan
26	776.437000	14938.647702	-nan	-nan
27	793.248000	15634.917354	-nan	-nan
28	473.925000	9554.327928	-nan	-nan
29	844.571000	17389.717019	-nan	-nan
30	597.204000	12541.284000	-nan	-nan
31	1029.269000	22016.063282	-nan	-nan
32	777.755000	16923.948978	-nan	-nan
33	1212.478000	26807.889320	-nan	-nan
34	574.718000	12896.672227	-nan	-nan
35	1081.194000	24597.163500	-nan	-nan
36	1740.683000	40105.337914	-nan	-nan
37	907.008000	21142.355996	-nan	-nan
38	431.464000	10165.291610	-nan	-nan
39	685.006000	16296.293367	-nan	-nan
40	845.866000	20300.784000	-nan	-nan
41	643.661000	15570.159934	-nan	-nan
42	1122.267000	27338.424805	-nan	-nan
43	1053.607000	25823.907811	-nan	-nan
44	991.637000	24433.935075	-nan	-nan
45	1001.732000	24792.867000	-nan	-nan
46	661.657000	16435.559981	-nan	-nan
47	848.702000	21141.166690	-nan	-nan
48	521.048000	13005.357603	-nan	-nan
49	1372.926000	34309.420426	-nan	-nan
50	357.826000	17891.300000	-nan	-nan
