TMRCA	Mean  = nan	Stdev = nan	95%CI = 0.783620 8.890187
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	41650.944000	41234.434957	-nan	-nan
2	21165.044000	41483.487047	-nan	-nan
3	16227.250000	47221.298893	-nan	-nan
4	11493.647000	44135.603493	-nan	-nan
5	9620.531000	45697.522250	-nan	-nan
6	7984.300000	45031.450934	-nan	-nan
7	7733.004000	50341.857810	-nan	-nan
8	6475.452000	47659.327585	-nan	-nan
9	5755.798000	47139.983205	-nan	-nan
10	6421.840000	57796.560000	-nan	-nan
11	5022.864000	49173.838368	-nan	-nan
12	4079.818000	43082.879792	-nan	-nan
13	4250.915000	48077.850434	-nan	-nan
14	4311.511000	51910.592276	-nan	-nan
15	4074.862000	51954.490500	-nan	-nan
16	3185.886000	42818.306503	-nan	-nan
17	3281.587000	46303.191443	-nan	-nan
18	4482.283000	66158.498106	-nan	-nan
19	3014.613000	46394.895105	-nan	-nan
20	2971.900000	47550.400000	-nan	-nan
21	3859.606000	64030.864129	-nan	-nan
22	2471.757000	42415.349743	-nan	-nan
23	2876.431000	50941.590377	-nan	-nan
24	3364.214000	61363.262590	-nan	-nan
25	3679.482000	68990.287500	-nan	-nan
26	2565.230000	49355.024613	-nan	-nan
27	2901.919000	57196.820833	-nan	-nan
28	3072.663000	61944.885611	-nan	-nan
29	2062.490000	42466.669415	-nan	-nan
30	2621.266000	55046.586000	-nan	-nan
31	2377.925000	50863.814299	-nan	-nan
32	2340.246000	50923.753496	-nan	-nan
33	2661.248000	58840.194904	-nan	-nan
34	2626.966000	58949.118443	-nan	-nan
35	1911.467000	43485.874250	-nan	-nan
36	2387.474000	55007.403146	-nan	-nan
37	3407.221000	79422.319690	-nan	-nan
38	3142.026000	74026.130882	-nan	-nan
39	1990.197000	47346.788452	-nan	-nan
40	1523.236000	36557.664000	-nan	-nan
41	1962.046000	47461.893788	-nan	-nan
42	2446.837000	59604.950813	-nan	-nan
43	2611.169000	63999.752788	-nan	-nan
44	2141.871000	52775.700133	-nan	-nan
45	2738.403000	67775.474250	-nan	-nan
46	2880.381000	71548.664480	-nan	-nan
47	2602.371000	64825.061213	-nan	-nan
48	2156.119000	53816.728266	-nan	-nan
49	3135.552000	78357.443762	-nan	-nan
50	841.733000	42086.650000	-nan	-nan
