TMRCA	Mean  = nan	Stdev = nan	95%CI = nan nan
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	11291.064000	11178.153468	-nan	-nan
2	5976.703000	11714.338108	-nan	-nan
3	3883.484000	11300.938773	-nan	-nan
4	3145.684000	12079.426290	-nan	-nan
5	2606.000000	12378.500000	-nan	-nan
6	2227.554000	12563.404263	-nan	-nan
7	1742.787000	11345.543769	-nan	-nan
8	1354.434000	9968.634421	-nan	-nan
9	1944.632000	15926.535264	-nan	-nan
10	1348.909000	12140.181000	-nan	-nan
11	1475.458000	14444.733764	-nan	-nan
12	1513.610000	15983.722235	-nan	-nan
13	1411.069000	15959.190982	-nan	-nan
14	1218.502000	14670.764034	-nan	-nan
15	712.483000	9084.158250	-nan	-nan
16	892.128000	11990.199946	-nan	-nan
17	1012.284000	14283.326892	-nan	-nan
18	613.941000	9061.769301	-nan	-nan
19	944.832000	14540.964804	-nan	-nan
20	772.861000	12365.776000	-nan	-nan
21	597.712000	9916.042171	-nan	-nan
22	1001.039000	17177.829087	-nan	-nan
23	1169.766000	20716.554789	-nan	-nan
24	585.077000	10671.804346	-nan	-nan
25	535.425000	10039.218750	-nan	-nan
26	471.766000	9076.777732	-nan	-nan
27	846.622000	16686.918845	-nan	-nan
28	312.874000	6307.539792	-nan	-nan
29	799.064000	16452.727882	-nan	-nan
30	802.515000	16852.815000	-nan	-nan
31	521.668000	11158.478202	-nan	-nan
32	504.334000	10974.307955	-nan	-nan
33	426.192000	9423.105380	-nan	-nan
34	659.394000	14796.801712	-nan	-nan
35	460.107000	10467.434250	-nan	-nan
36	649.985000	14975.654995	-nan	-nan
37	772.008000	17995.506068	-nan	-nan
38	442.916000	10435.100723	-nan	-nan
39	618.703000	14718.944936	-nan	-nan
40	224.069000	5377.656000	-nan	-nan
41	736.667000	17819.975123	-nan	-nan
42	316.497000	7709.867113	-nan	-nan
43	534.755000	13106.845172	-nan	-nan
44	578.109000	14244.605407	-nan	-nan
45	744.319000	18421.895250	-nan	-nan
46	597.758000	14848.308811	-nan	-nan
47	322.975000	8045.307201	-nan	-nan
48	399.247000	9965.204754	-nan	-nan
49	596.070000	14895.789164	-nan	-nan
50	274.114000	13705.700000	-nan	-nan
