TMRCA	Mean  = nan	Stdev = nan	95%CI = 0.734819 11.049736
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	39313.008000	38919.878295	-nan	-nan
2	20117.330000	39429.967567	-nan	-nan
3	13973.653000	40663.331429	-nan	-nan
4	9844.650000	37803.455155	-nan	-nan
5	8370.837000	39761.475750	-nan	-nan
6	7771.598000	43831.811682	-nan	-nan
7	5872.044000	38227.007784	-nan	-nan
8	7033.329000	51765.302379	-nan	-nan
9	5354.680000	43854.826953	-nan	-nan
10	4351.168000	39160.512000	-nan	-nan
11	4720.302000	46211.756400	-nan	-nan
12	4080.260000	43087.547312	-nan	-nan
13	4822.708000	54544.829504	-nan	-nan
14	3228.323000	38869.008797	-nan	-nan
15	3728.693000	47540.835750	-nan	-nan
16	3382.262000	45457.599861	-nan	-nan
17	3725.172000	52562.175641	-nan	-nan
18	3206.710000	47331.040334	-nan	-nan
19	2328.553000	35836.431469	-nan	-nan
20	3089.394000	49430.304000	-nan	-nan
21	2658.356000	44102.126446	-nan	-nan
22	3086.216000	52959.466089	-nan	-nan
23	4145.513000	73417.031435	-nan	-nan
24	2528.902000	46127.171901	-nan	-nan
25	2964.051000	55575.956250	-nan	-nan
26	2540.529000	48879.777379	-nan	-nan
27	3502.361000	69031.532103	-nan	-nan
28	2237.393000	45105.842539	-nan	-nan
29	3343.462000	68841.883090	-nan	-nan
30	2818.821000	59195.241000	-nan	-nan
31	2384.544000	51005.394705	-nan	-nan
32	1990.410000	43311.322056	-nan	-nan
33	1871.595000	41380.966592	-nan	-nan
34	2011.966000	45148.518115	-nan	-nan
35	1932.149000	43956.389750	-nan	-nan
36	2126.536000	48995.391387	-nan	-nan
37	2439.719000	56869.848587	-nan	-nan
38	1986.763000	46808.135219	-nan	-nan
39	1555.724000	37010.675384	-nan	-nan
40	2500.997000	60023.928000	-nan	-nan
41	1848.843000	44723.513157	-nan	-nan
42	2048.056000	49890.645410	-nan	-nan
43	2398.665000	58791.279699	-nan	-nan
44	2235.049000	55071.605996	-nan	-nan
45	2740.373000	67824.231750	-nan	-nan
46	2071.219000	51449.080276	-nan	-nan
47	2540.419000	63281.836902	-nan	-nan
48	2395.521000	59792.201967	-nan	-nan
49	2558.136000	63927.818054	-nan	-nan
50	576.039000	28801.950000	-nan	-nan
