TMRCA	Mean  = nan	Stdev = nan	95%CI = nan nan
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	21735.904000	21518.545167	-nan	-nan
2	10737.365000	21045.235810	-nan	-nan
3	6948.364000	20219.739836	-nan	-nan
4	6017.747000	23108.147963	-nan	-nan
5	4417.002000	20980.759500	-nan	-nan
6	4224.737000	23827.516116	-nan	-nan
7	3179.771000	20700.309938	-nan	-nan
8	2712.978000	19967.518442	-nan	-nan
9	3136.783000	25690.251454	-nan	-nan
10	2397.335000	21576.015000	-nan	-nan
11	2199.265000	21530.804266	-nan	-nan
12	2091.639000	22087.708718	-nan	-nan
13	2053.653000	23226.816292	-nan	-nan
14	1540.614000	18548.992501	-nan	-nan
15	2499.638000	31870.384500	-nan	-nan
16	1905.856000	25614.703840	-nan	-nan
17	1186.319000	16738.960683	-nan	-nan
18	1922.373000	28374.225920	-nan	-nan
19	2049.675000	31544.498954	-nan	-nan
20	1696.759000	27148.144000	-nan	-nan
21	1721.770000	28564.164563	-nan	-nan
22	1053.774000	18082.761679	-nan	-nan
23	1441.003000	25520.161811	-nan	-nan
24	1352.764000	24674.415050	-nan	-nan
25	1026.867000	19253.756250	-nan	-nan
26	1255.598000	24157.705233	-nan	-nan
27	1155.856000	22781.920702	-nan	-nan
28	967.055000	19495.828652	-nan	-nan
29	1313.144000	27037.635160	-nan	-nan
30	1710.360000	35917.560000	-nan	-nan
31	697.408000	14917.556694	-nan	-nan
32	1126.810000	24519.385858	-nan	-nan
33	1209.279000	26737.159428	-nan	-nan
34	1276.514000	28644.974842	-nan	-nan
35	1627.403000	37023.418250	-nan	-nan
36	1023.779000	23587.869097	-nan	-nan
37	824.671000	19223.080570	-nan	-nan
38	1447.206000	34096.172587	-nan	-nan
39	871.938000	20743.405818	-nan	-nan
40	1166.403000	27993.672000	-nan	-nan
41	862.925000	20874.156211	-nan	-nan
42	918.965000	22385.987961	-nan	-nan
43	1163.359000	28513.929356	-nan	-nan
44	1405.834000	34639.748902	-nan	-nan
45	1432.815000	35462.171250	-nan	-nan
46	825.417000	20503.358406	-nan	-nan
47	1314.429000	32742.426189	-nan	-nan
48	538.077000	13430.401427	-nan	-nan
49	1255.445000	31373.570263	-nan	-nan
50	338.929000	16946.450000	-nan	-nan
