TMRCA	Mean  = nan	Stdev = nan	95%CI = nan nan
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	8230.489000	8148.184188	-nan	-nan
2	4449.820000	8721.647370	-nan	-nan
3	2957.194000	8605.434794	-nan	-nan
4	2277.662000	8746.221885	-nan	-nan
5	1770.363000	8409.224250	-nan	-nan
6	1898.987000	10710.286426	-nan	-nan
7	1380.255000	8985.460366	-nan	-nan
8	1289.041000	9487.341932	-nan	-nan
9	1118.557000	9160.981361	-nan	-nan
10	1136.590000	10229.310000	-nan	-nan
11	861.453000	8433.624837	-nan	-nan
12	961.155000	10149.797203	-nan	-nan
13	645.154000	7296.692011	-nan	-nan
14	1017.043000	12245.197681	-nan	-nan
15	656.846000	8374.786500	-nan	-nan
16	898.487000	12075.664903	-nan	-nan
17	535.894000	7561.464156	-nan	-nan
18	480.770000	7096.165310	-nan	-nan
19	729.092000	11220.726130	-nan	-nan
20	513.301000	8212.816000	-nan	-nan
21	459.868000	7629.210190	-nan	-nan
22	487.447000	8364.590446	-nan	-nan
23	763.882000	13528.349521	-nan	-nan
24	283.721000	5175.070975	-nan	-nan
25	694.107000	13014.506250	-nan	-nan
26	214.994000	4136.484511	-nan	-nan
27	322.942000	6365.186524	-nan	-nan
28	931.037000	18769.705778	-nan	-nan
29	428.210000	8816.843965	-nan	-nan
30	346.913000	7285.173000	-nan	-nan
31	158.208000	3384.069023	1287.964386	27549.557443
32	235.146000	5116.777014	-nan	-nan
33	448.969000	9926.704864	-nan	-nan
34	214.561000	4814.748955	-nan	-nan
35	617.861000	14056.337750	-nan	-nan
36	413.421000	9525.220218	-nan	-nan
37	326.096000	7601.297586	-nan	-nan
38	114.902000	2707.091059	978.253425	23047.649607
39	304.134000	7235.348138	-nan	-nan
40	437.104000	10490.496000	-nan	-nan
41	224.137000	5421.874150	-nan	-nan
42	186.664000	4547.135154	-nan	-nan
43	420.411000	10304.273706	-nan	-nan
44	248.873000	6132.230568	-nan	-nan
45	355.012000	8786.547000	-nan	-nan
46	534.340000	13273.005682	-nan	-nan
47	556.487000	13862.091085	-nan	-nan
48	304.737000	7606.235241	-nan	-nan
49	248.196000	6202.417983	-nan	-nan
50	192.883000	9644.150000	-nan	-nan
