TMRCA	Mean  = 1.090328	Stdev = 0.349461	95%CI = 0.511182 1.849502
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	234144.864000	231803.417593	-nan	-nan
2	109391.120000	214406.599373	-nan	-nan
3	72332.808000	210488.477488	-nan	-nan
4	54018.512000	207431.081444	-nan	-nan
5	39406.476000	187180.761000	-nan	-nan
6	33504.360000	188964.585927	-nan	-nan
7	27039.680000	176028.322989	-nan	-nan
8	25529.624000	187898.036049	-nan	-nan
9	23164.398000	189716.409900	-nan	-nan
10	18696.356000	168267.204000	-nan	-nan
11	18514.430000	181256.268994	-nan	-nan
12	16685.806000	176202.118362	-nan	-nan
13	15964.648000	180560.175579	-nan	-nan
14	13516.631000	162740.236724	-nan	-nan
15	12917.475000	164697.806250	-nan	-nan
16	11512.151000	154723.304609	-nan	-nan
17	10514.900000	148365.235390	-nan	-nan
18	10899.928000	160882.939775	-nan	-nan
19	9932.131000	152855.499500	-nan	-nan
20	9638.549000	154216.784000	-nan	-nan
21	7680.699000	127422.797582	-nan	-nan
22	8919.453000	153057.812119	-nan	-nan
23	8657.001000	153315.479784	-nan	-nan
24	7246.113000	132169.099461	-nan	-nan
25	7172.238000	134479.462500	-nan	-nan
26	7706.960000	148281.908636	-nan	-nan
27	5680.540000	111963.438199	-nan	-nan
28	6045.355000	121874.355878	-nan	-nan
29	6301.915000	129756.430812	-nan	-nan
30	7170.905000	150589.005000	-nan	-nan
31	6839.454000	146295.916886	-nan	-nan
32	5712.203000	124297.538587	-nan	-nan
33	4700.146000	103920.230929	-nan	-nan
34	5522.235000	123918.956349	-nan	-nan
35	6862.286000	156117.006500	-nan	-nan
36	7303.419000	168270.780446	-nan	-nan
37	5828.189000	135855.082477	-nan	-nan
38	5746.406000	135385.322291	-nan	-nan
39	5409.783000	128698.742523	-nan	-nan
40	5138.119000	123314.856000	-nan	-nan
41	4987.266000	120641.967203	-nan	-nan
42	5405.878000	131687.191379	-nan	-nan
43	5629.882000	137988.409109	-nan	-nan
44	5599.998000	137983.947302	-nan	-nan
45	5091.997000	126026.925750	-nan	-nan
46	5340.273000	132652.382135	-nan	-nan
47	4669.375000	116314.130538	-nan	-nan
48	5700.165000	142276.113181	-nan	-nan
49	4781.744000	119495.781466	-nan	-nan
50	2544.923000	127246.150000	-nan	-nan
