TMRCA	Mean  = nan	Stdev = nan	95%CI = 0.733624 11.646763
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	241741.680000	239324.265505	-nan	-nan
2	120210.312000	235612.216106	-nan	-nan
3	85981.584000	250206.416820	-nan	-nan
4	65800.380000	252673.453552	-nan	-nan
5	56632.056000	269002.266000	-nan	-nan
6	50563.828000	285179.983169	-nan	-nan
7	36906.620000	240262.104647	-nan	-nan
8	39765.248000	292672.230589	-nan	-nan
9	35594.260000	291516.974464	-nan	-nan
10	38901.688000	350115.192000	-nan	-nan
11	26845.760000	262819.989376	-nan	-nan
12	23865.688000	252021.675294	-nan	-nan
13	24010.656000	271560.529435	-nan	-nan
14	24827.736000	298925.940493	-nan	-nan
15	28209.932000	359676.633000	-nan	-nan
16	18765.010000	252201.726526	-nan	-nan
17	26653.492000	376080.762969	-nan	-nan
18	20620.740000	304362.127120	-nan	-nan
19	15905.536000	244786.204501	-nan	-nan
20	22396.684000	358346.944000	-nan	-nan
21	17421.552000	289023.550338	-nan	-nan
22	19233.590000	330048.401465	-nan	-nan
23	18792.404000	332813.457635	-nan	-nan
24	16632.996000	303385.843233	-nan	-nan
25	13090.851000	245453.456250	-nan	-nan
26	17006.728000	327209.442827	-nan	-nan
27	16164.908000	318610.321881	-nan	-nan
28	14357.629000	289449.798449	-nan	-nan
29	13519.032000	278356.870943	-nan	-nan
30	19990.928000	419809.488000	-nan	-nan
31	12332.306000	263788.017813	-nan	-nan
32	11245.564000	244703.475214	-nan	-nan
33	17380.188000	384275.967288	-nan	-nan
34	13897.498000	311859.862542	-nan	-nan
35	22205.172000	505167.663000	-nan	-nan
36	12305.504000	283518.823426	-nan	-nan
37	13302.558000	310082.619876	-nan	-nan
38	10610.704000	249988.180573	-nan	-nan
39	16703.626000	397379.277833	-nan	-nan
40	13399.353000	321584.472000	-nan	-nan
41	21467.884000	519308.125425	-nan	-nan
42	14937.230000	363870.931917	-nan	-nan
43	12489.913000	306127.770489	-nan	-nan
44	16077.479000	396149.072747	-nan	-nan
45	10265.379000	254068.130250	-nan	-nan
46	16478.984000	409337.965074	-nan	-nan
47	10919.154000	271996.124474	-nan	-nan
48	16171.268000	403634.834475	-nan	-nan
49	13144.842000	328489.598571	-nan	-nan
50	16362.352000	818117.600000	-nan	-nan
