TMRCA	Mean  = nan	Stdev = nan	95%CI = 0.699466 nan
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	90890.920000	89982.011667	-nan	-nan
2	46526.620000	91192.176975	-nan	-nan
3	32201.232000	93705.587884	-nan	-nan
4	27440.628000	105372.009165	-nan	-nan
5	22323.396000	106036.131000	-nan	-nan
6	15686.595000	88472.393706	-nan	-nan
7	15398.300000	100242.936524	-nan	-nan
8	9919.676000	73008.816684	-nan	-nan
9	13378.203000	109567.476956	-nan	-nan
10	12174.375000	109569.375000	-nan	-nan
11	11652.848000	114081.381475	-nan	-nan
12	8260.680000	87232.784266	-nan	-nan
13	8687.515000	98255.798295	-nan	-nan
14	9432.256000	113564.361880	-nan	-nan
15	8207.700000	104648.175000	-nan	-nan
16	5384.515000	72367.879341	-nan	-nan
17	7893.510000	111377.423390	-nan	-nan
18	5994.732000	88482.245692	-nan	-nan
19	5592.488000	86068.392240	-nan	-nan
20	9893.646000	158298.336000	-nan	-nan
21	4020.982000	66708.091994	-nan	-nan
22	6915.575000	118671.265945	-nan	-nan
23	5366.236000	95036.034647	-nan	-nan
24	6936.138000	126515.155532	-nan	-nan
25	7075.262000	132661.162500	-nan	-nan
26	7600.322000	146230.193540	-nan	-nan
27	3889.191000	76655.951049	-nan	-nan
28	5474.225000	110360.375165	-nan	-nan
29	8003.422000	164790.460201	-nan	-nan
30	6036.105000	126758.205000	-nan	-nan
31	3852.203000	82398.619819	-nan	-nan
32	6417.888000	139653.244349	-nan	-nan
33	2170.541000	47990.662835	-nan	-nan
34	4592.489000	103055.455613	-nan	-nan
35	5276.258000	120034.869500	-nan	-nan
36	7454.778000	171758.091945	-nan	-nan
37	4066.694000	94794.634968	-nan	-nan
38	4528.056000	106680.996942	-nan	-nan
39	11005.112000	261811.624555	-nan	-nan
40	4377.293000	105055.032000	-nan	-nan
41	1796.795000	43464.472010	-nan	-nan
42	3600.310000	87703.553797	-nan	-nan
43	2502.883000	61345.662903	-nan	-nan
44	3054.683000	75267.387256	-nan	-nan
45	3490.741000	86395.839750	-nan	-nan
46	2609.616000	64822.861838	-nan	-nan
47	2787.084000	69426.262015	-nan	-nan
48	4337.588000	108266.192509	-nan	-nan
49	5407.852000	135142.220242	-nan	-nan
50	2721.504000	136075.200000	-nan	-nan
