TMRCA	Mean  = 1.181035	Stdev = 0.335369	95%CI = 0.576816 1.822594
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	40840.060000	40431.659789	-nan	-nan
2	19633.036000	38480.751309	-nan	-nan
3	13017.026000	37879.546777	-nan	-nan
4	9877.703000	37930.378672	-nan	-nan
5	7357.209000	34946.742750	-nan	-nan
6	6627.059000	37376.611875	-nan	-nan
7	5171.894000	33669.031124	-nan	-nan
8	4637.466000	34131.750379	-nan	-nan
9	3651.464000	29905.488628	-nan	-nan
10	3661.652000	32954.868000	-nan	-nan
11	3214.502000	31469.974457	-nan	-nan
12	2829.893000	29883.671267	-nan	-nan
13	2748.572000	31086.350473	-nan	-nan
14	2662.519000	32056.728658	-nan	-nan
15	2467.157000	31456.251750	-nan	-nan
16	2424.635000	32587.093383	-nan	-nan
17	1941.409000	27393.280323	-nan	-nan
18	1596.001000	23556.975125	-nan	-nan
19	1848.618000	28450.231655	-nan	-nan
20	1670.706000	26731.296000	-nan	-nan
21	1531.076000	25400.551074	-nan	-nan
22	1680.671000	28840.314104	-nan	-nan
23	1390.551000	24626.656937	-nan	-nan
24	1373.400000	25050.815686	-nan	-nan
25	1399.800000	26246.250000	-nan	-nan
26	1363.378000	26231.392408	-nan	-nan
27	1218.939000	24025.286574	-nan	-nan
28	1251.827000	25236.832129	-nan	-nan
29	1479.540000	30463.728826	-nan	-nan
30	1447.593000	30399.453000	-nan	-nan
31	1227.720000	26260.930051	-nan	-nan
32	1472.017000	32031.090257	-nan	-nan
33	1044.350000	23090.579137	-nan	-nan
34	1359.790000	30513.688326	-nan	-nan
35	1073.819000	24429.382250	-nan	-nan
36	1168.208000	26915.513390	-nan	-nan
37	1157.741000	26986.942092	-nan	-nan
38	1066.276000	25121.461991	-nan	-nan
39	904.386000	21515.343768	-nan	-nan
40	784.996000	18839.904000	-nan	-nan
41	1054.909000	25518.249273	-nan	-nan
42	1048.357000	25537.977160	-nan	-nan
43	987.114000	24194.164366	-nan	-nan
44	1015.344000	25018.075540	-nan	-nan
45	948.232000	23468.742000	-nan	-nan
46	970.218000	24100.215268	-nan	-nan
47	1176.436000	29305.020580	-nan	-nan
48	828.444000	20677.961482	-nan	-nan
49	988.651000	24706.388264	-nan	-nan
50	617.177000	30858.850000	-nan	-nan
