TMRCA	Mean  = 2.231903	Stdev = 1.199923	95%CI = 0.433777 5.036960
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	2731.848000	2704.529546	-nan	-nan
2	297.143000	582.400291	356.846166	699.418501
3	141.828000	412.719492	188.597688	548.819290
4	89.610000	344.102392	136.181908	522.938521
5	68.096000	323.456000	106.091335	503.933843
6	49.909000	281.486753	96.443431	543.940941
7	42.619000	277.449700	71.159297	463.247043
8	32.830000	241.628804	58.447114	430.170767
9	25.572000	209.434669	48.729636	399.095703
10	27.292000	245.628000	56.613230	509.519069
11	17.249000	168.867709	39.994532	391.546467
12	16.171000	170.765767	39.902330	421.368627
13	15.507000	175.384177	38.468738	435.081438
14	13.647000	164.309879	39.433963	474.784903
15	12.972000	165.393000	34.871381	444.610111
16	12.149000	163.282555	38.448812	516.752014
17	11.908000	168.021876	34.381880	485.128306
18	12.343000	182.182683	38.939333	574.744556
19	11.591000	178.385494	35.375233	544.424853
20	11.174000	178.784000	38.760729	620.171665
21	10.056000	166.829042	36.683710	608.582765
22	8.849000	151.848839	29.195832	501.000480
23	8.984000	159.106632	31.184455	552.276669
24	8.175000	149.111998	30.184491	550.565111
25	9.907000	185.756250	38.390835	719.828155
26	10.370000	199.518798	39.502272	760.023703
27	7.681000	151.392503	29.602729	583.469765
28	10.101000	203.636158	50.130309	1010.627020
29	8.968000	184.651121	34.458531	709.501172
30	6.981000	146.601000	36.192603	760.044672
31	5.211000	111.463287	21.874391	467.893204
32	7.113000	154.778882	30.399447	661.491973
33	6.218000	137.479984	26.057426	576.129702
34	7.808000	175.211524	35.612855	799.152472
35	7.581000	172.467750	31.256718	711.090335
36	7.658000	176.440327	36.459242	840.020942
37	6.396000	149.090757	30.957059	721.609040
38	7.410000	174.579596	35.065588	826.145225
39	6.015000	143.096856	29.645938	705.276917
40	6.980000	167.520000	35.108920	842.614071
41	6.740000	163.040604	31.011645	750.171709
42	5.269000	128.352843	23.853629	581.074415
43	7.065000	173.163152	31.016557	760.215817
44	4.861000	119.775037	20.651105	508.843223
45	4.468000	110.583000	18.728795	463.537664
46	6.177000	153.436681	29.876651	742.136036
47	5.040000	125.546399	23.821584	593.395668
48	4.634000	115.664636	22.131015	552.390102
49	6.258000	156.387419	36.596321	914.542039
50	4.255000	212.750000	38.866832	1943.341584
