TMRCA	Mean  = 1.941000	Stdev = 1.061847	95%CI = 1.000000 5.000000
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	19270.060000	19077.359584	-nan	-nan
2	23627.308000	46309.524581	-nan	-nan
3	20357.356000	59239.907707	-nan	-nan
4	22772.262000	87445.484125	-nan	-nan
5	21317.746000	101259.293500	-nan	-nan
6	18651.584000	105194.931270	-nan	-nan
7	17443.228000	113555.418272	-nan	-nan
8	17316.412000	127448.794632	-nan	-nan
9	18047.412000	147808.296707	-nan	-nan
10	16353.978000	147185.802000	-nan	-nan
11	19991.576000	195717.528277	-nan	-nan
12	20717.288000	218774.569973	-nan	-nan
13	14053.399000	158943.948587	-nan	-nan
14	14053.175000	169200.226464	-nan	-nan
15	15503.460000	197669.115000	-nan	-nan
16	20112.014000	270305.459721	-nan	-nan
17	17568.168000	247886.844448	-nan	-nan
18	15378.508000	226986.781600	-nan	-nan
19	14655.793000	225552.659302	-nan	-nan
20	12350.284000	197604.544000	-nan	-nan
21	14901.980000	247223.850474	-nan	-nan
22	19025.228000	326472.909577	-nan	-nan
23	17813.666000	315480.008551	-nan	-nan
24	12720.697000	232025.510368	-nan	-nan
25	15627.528000	293016.150000	-nan	-nan
26	16837.840000	323960.037746	-nan	-nan
27	13685.422000	269739.655091	-nan	-nan
28	10415.517000	209976.821131	-nan	-nan
29	11873.719000	244479.876022	-nan	-nan
30	20473.844000	429950.724000	-nan	-nan
31	15143.863000	323927.220327	-nan	-nan
32	10056.857000	218837.210622	-nan	-nan
33	13449.760000	297374.201809	-nan	-nan
34	9570.905000	214771.113311	-nan	-nan
35	20230.084000	460234.411000	-nan	-nan
36	9688.165000	223215.330470	-nan	-nan
37	12601.140000	293732.566670	-nan	-nan
38	11626.408000	273918.166271	-nan	-nan
39	13448.099000	319930.287522	-nan	-nan
40	11628.628000	279087.072000	-nan	-nan
41	13566.367000	328170.424975	-nan	-nan
42	11265.795000	274434.773076	-nan	-nan
43	9817.558000	240628.348827	-nan	-nan
44	10663.904000	262758.588051	-nan	-nan
45	8849.170000	219016.957500	-nan	-nan
46	12353.699000	306865.885045	-nan	-nan
47	13085.452000	325958.607323	-nan	-nan
48	10903.182000	272143.412738	-nan	-nan
49	10298.360000	257356.014043	-nan	-nan
50	4725.028000	236251.400000	-nan	-nan
