TMRCA	Mean  = 1.222554	Stdev = 0.420076	95%CI = 0.540725 2.188832
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	263722.432000	261085.210195	-nan	-nan
2	127738.048000	250366.578953	-nan	-nan
3	83632.792000	243371.431898	-nan	-nan
4	62770.648000	241039.282932	-nan	-nan
5	49631.960000	235751.810000	-nan	-nan
6	41729.852000	235356.359708	-nan	-nan
7	33758.816000	219769.899887	-nan	-nan
8	30691.268000	225887.736578	-nan	-nan
9	24996.392000	204720.439991	-nan	-nan
10	25556.550000	230008.950000	-nan	-nan
11	19632.250000	192199.726751	-nan	-nan
12	20256.968000	213913.590580	-nan	-nan
13	18509.784000	209345.664807	-nan	-nan
14	17173.156000	206764.797585	-nan	-nan
15	15225.197000	194121.261750	-nan	-nan
16	12963.542000	174229.999040	-nan	-nan
17	13781.113000	194451.499699	-nan	-nan
18	14608.977000	215628.503864	-nan	-nan
19	10169.448000	156507.808211	-nan	-nan
20	13318.804000	213100.864000	-nan	-nan
21	10659.947000	176848.522357	-nan	-nan
22	10173.601000	174578.991608	-nan	-nan
23	11343.950000	200901.344114	-nan	-nan
24	9184.312000	167521.848778	-nan	-nan
25	9640.635000	180761.906250	-nan	-nan
26	8205.577000	157875.299602	-nan	-nan
27	9046.576000	178308.004678	-nan	-nan
28	8385.098000	169043.574401	-nan	-nan
29	8180.636000	168439.296488	-nan	-nan
30	6285.635000	131998.335000	-nan	-nan
31	8791.487000	188049.901564	-nan	-nan
32	5755.463000	125238.876197	-nan	-nan
33	8049.867000	177982.564283	-nan	-nan
34	5591.204000	125466.620746	-nan	-nan
35	6419.959000	146054.067250	-nan	-nan
36	8459.666000	194910.712385	-nan	-nan
37	7679.477000	179008.604769	-nan	-nan
38	7718.098000	181838.384758	-nan	-nan
39	6944.454000	165208.567018	-nan	-nan
40	7672.990000	184151.760000	-nan	-nan
41	6583.023000	159243.329886	-nan	-nan
42	5562.736000	135508.252355	-nan	-nan
43	5456.986000	133750.728109	-nan	-nan
44	6806.809000	167719.769605	-nan	-nan
45	6788.022000	168003.544500	-nan	-nan
46	7339.235000	182306.598520	-nan	-nan
47	6740.544000	167906.950011	-nan	-nan
48	7553.401000	188532.882045	-nan	-nan
49	6538.890000	163406.859603	-nan	-nan
50	2684.553000	134227.650000	-nan	-nan
