TMRCA	Mean  = nan	Stdev = nan	95%CI = 0.574147 12.514176
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	151090.320000	149579.418241	-nan	-nan
2	81039.864000	158838.136531	-nan	-nan
3	54852.504000	159620.791348	-nan	-nan
4	37787.656000	145104.595797	-nan	-nan
5	31728.176000	150708.836000	-nan	-nan
6	27345.792000	154230.263229	-nan	-nan
7	25860.208000	168349.959999	-nan	-nan
8	20399.356000	150139.262884	-nan	-nan
9	18347.248000	150263.953421	-nan	-nan
10	17169.480000	154525.320000	-nan	-nan
11	17575.498000	172064.124750	-nan	-nan
12	13370.119000	141188.462250	-nan	-nan
13	16734.158000	189263.334002	-nan	-nan
14	14449.313000	173969.727969	-nan	-nan
15	10752.202000	137090.575500	-nan	-nan
16	12076.655000	162310.238132	-nan	-nan
17	11825.837000	166862.556010	-nan	-nan
18	14555.194000	214834.666771	-nan	-nan
19	14429.239000	222065.993164	-nan	-nan
20	13203.985000	211263.760000	-nan	-nan
21	13710.256000	227453.149132	-nan	-nan
22	12345.576000	211850.082276	-nan	-nan
23	10666.349000	188901.031025	-nan	-nan
24	10211.340000	186254.839263	-nan	-nan
25	8943.482000	167690.287500	-nan	-nan
26	12258.220000	235848.149994	-nan	-nan
27	9836.276000	193872.990955	-nan	-nan
28	8137.306000	164048.087718	-nan	-nan
29	8466.043000	174315.826662	-nan	-nan
30	10371.150000	217794.150000	-nan	-nan
31	7352.416000	157268.173752	-nan	-nan
32	12381.398000	269419.223314	-nan	-nan
33	7996.801000	176809.274991	-nan	-nan
34	10622.002000	238357.730553	-nan	-nan
35	12950.512000	294624.148000	-nan	-nan
36	8127.177000	187250.165521	-nan	-nan
37	8617.554000	200875.179138	-nan	-nan
38	8849.212000	208487.429994	-nan	-nan
39	10065.146000	239449.832555	-nan	-nan
40	10538.711000	252929.064000	-nan	-nan
41	9674.837000	234034.312197	-nan	-nan
42	12084.224000	294371.704016	-nan	-nan
43	8861.400000	217192.916028	-nan	-nan
44	7126.723000	175602.450370	-nan	-nan
45	10489.977000	259626.930750	-nan	-nan
46	9400.316000	233503.850874	-nan	-nan
47	8082.402000	201332.632587	-nan	-nan
48	7144.579000	178328.685299	-nan	-nan
49	9107.609000	227599.146825	-nan	-nan
50	2665.223000	133261.150000	-nan	-nan
