TMRCA	Mean  = 1.418176	Stdev = 0.520333	95%CI = 0.598396 2.599699
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	41321.100000	40907.889394	-nan	-nan
2	20201.336000	39594.619331	-nan	-nan
3	13466.903000	39188.688886	-nan	-nan
4	10191.425000	39135.071125	-nan	-nan
5	7468.483000	35475.294250	-nan	-nan
6	6481.869000	36557.740295	-nan	-nan
7	5706.505000	37149.348856	-nan	-nan
8	5097.044000	37514.244521	-nan	-nan
9	4334.220000	35497.259981	-nan	-nan
10	4000.077000	36000.693000	-nan	-nan
11	3475.703000	34027.132237	-nan	-nan
12	3215.001000	33950.411909	-nan	-nan
13	3017.661000	34129.747176	-nan	-nan
14	2550.238000	30704.865423	-nan	-nan
15	2272.864000	28979.016000	-nan	-nan
16	2349.438000	31576.445734	-nan	-nan
17	2353.419000	33206.741282	-nan	-nan
18	2061.248000	30424.020952	-nan	-nan
19	2286.302000	35186.188565	-nan	-nan
20	1883.351000	30133.616000	-nan	-nan
21	2076.165000	34443.577667	-nan	-nan
22	1917.766000	32908.864267	-nan	-nan
23	1912.556000	33871.365009	-nan	-nan
24	1585.531000	28920.085077	-nan	-nan
25	1477.162000	27696.787500	-nan	-nan
26	1565.343000	30117.198962	-nan	-nan
27	1962.884000	38688.441843	-nan	-nan
28	1307.457000	26358.332920	-nan	-nan
29	1412.040000	29073.903815	-nan	-nan
30	1195.137000	25097.877000	-nan	-nan
31	2154.788000	46090.914005	-nan	-nan
32	1249.459000	27188.228126	-nan	-nan
33	1497.625000	33112.489664	-nan	-nan
34	1371.342000	30772.915212	-nan	-nan
35	1291.167000	29374.049250	-nan	-nan
36	1456.839000	33565.571894	-nan	-nan
37	1291.079000	30095.050800	-nan	-nan
38	1355.236000	31929.359436	-nan	-nan
39	1277.534000	30392.535030	-nan	-nan
40	1206.505000	28956.120000	-nan	-nan
41	1053.985000	25495.897713	-nan	-nan
42	1053.147000	25654.661563	-nan	-nan
43	1262.087000	30933.752659	-nan	-nan
44	1450.277000	35734.824395	-nan	-nan
45	996.022000	24651.544500	-nan	-nan
46	1083.059000	26903.185725	-nan	-nan
47	1260.184000	31391.183248	-nan	-nan
48	1198.095000	29904.450103	-nan	-nan
49	1201.667000	30029.658055	-nan	-nan
50	531.528000	26576.400000	-nan	-nan
