TMRCA	Mean  = nan	Stdev = nan	95%CI = 0.526555 5.907533
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	45644.412000	45187.968315	-nan	-nan
2	22979.818000	45040.444157	-nan	-nan
3	16530.922000	48104.984439	-nan	-nan
4	11825.475000	45409.822985	-nan	-nan
5	11119.280000	52816.580000	-nan	-nan
6	8302.019000	46823.386052	-nan	-nan
7	7636.871000	49716.031958	-nan	-nan
8	6389.657000	47027.876373	-nan	-nan
9	6714.774000	54993.996242	-nan	-nan
10	5689.094000	51201.846000	-nan	-nan
11	5113.913000	50065.208075	-nan	-nan
12	4580.582000	48370.947842	-nan	-nan
13	3112.080000	35197.626106	-nan	-nan
14	4188.692000	50431.851520	-nan	-nan
15	3285.857000	41894.676750	-nan	-nan
16	4972.796000	66834.376153	-nan	-nan
17	3254.948000	45927.315163	-nan	-nan
18	3465.341000	51148.433953	-nan	-nan
19	3787.530000	58290.088000	-nan	-nan
20	2380.424000	38086.784000	-nan	-nan
21	3243.383000	53807.724465	-nan	-nan
22	2274.015000	39022.097053	-nan	-nan
23	2865.394000	50746.125117	-nan	-nan
24	3284.835000	59915.389648	-nan	-nan
25	2838.287000	53217.881250	-nan	-nan
26	2893.912000	55678.866218	-nan	-nan
27	1629.717000	32121.720578	-nan	-nan
28	2674.681000	53921.568552	-nan	-nan
29	3034.438000	62479.078883	-nan	-nan
30	2399.706000	50393.826000	-nan	-nan
31	1635.460000	34982.488402	-nan	-nan
32	3580.962000	77921.733940	-nan	-nan
33	2398.096000	53021.904024	-nan	-nan
34	1404.792000	31523.533230	-nan	-nan
35	2045.859000	46543.292250	-nan	-nan
36	1704.397000	39269.308440	-nan	-nan
37	1138.079000	26528.620882	-nan	-nan
38	1581.708000	37265.039635	-nan	-nan
39	1328.918000	31614.960437	-nan	-nan
40	2233.695000	53608.680000	-nan	-nan
41	2831.553000	68495.268582	-nan	-nan
42	4172.416000	101640.056307	-nan	-nan
43	789.663000	19354.640311	-nan	-nan
44	1509.659000	37197.996839	-nan	-nan
45	1152.490000	28524.127500	-nan	-nan
46	2124.915000	52782.888924	-nan	-nan
47	675.760000	16833.181497	-nan	-nan
48	2003.688000	50012.050646	-nan	-nan
49	2576.556000	64388.133850	-nan	-nan
50	1004.398000	50219.900000	-nan	-nan
