TMRCA	Mean  = 29.469877	Stdev = 301.784440	95%CI = 0.910452 98.406002
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	55142.880000	54591.451726	-nan	-nan
2	47489.448000	93079.319892	-nan	-nan
3	36476.156000	106145.617091	-nan	-nan
4	14600.897000	56067.443227	-nan	-nan
5	13813.945000	65616.238750	-nan	-nan
6	11305.835000	63764.907891	-nan	-nan
7	12384.607000	80623.794405	-nan	-nan
8	9321.352000	68605.151965	-nan	-nan
9	22166.402000	181542.823079	-nan	-nan
10	19378.360000	174405.240000	-nan	-nan
11	13696.312000	134086.893958	-nan	-nan
12	220106.144000	2324320.973000	-nan	-nan
13	6431.474000	72739.973639	-nan	-nan
14	12305.577000	148159.146611	-nan	-nan
15	7920.386000	100984.921500	-nan	-nan
16	22608.128000	303853.230833	-nan	-nan
17	12933.989000	182498.580349	-nan	-nan
18	18096.676000	267106.941902	-nan	-nan
19	12480.684000	192077.731045	-nan	-nan
20	8221.221000	131539.536000	-nan	-nan
21	37548.900000	622936.256730	-nan	-nan
22	9208.536000	158018.476355	-nan	-nan
23	8525.131000	150980.062205	-nan	-nan
24	7884.556000	143814.299635	-nan	-nan
25	10441.359000	195775.481250	-nan	-nan
26	32680.940000	628781.278120	-nan	-nan
27	8659.865000	170685.931222	-nan	-nan
28	18404.100000	371026.653192	-nan	-nan
29	6369.737000	131152.885802	-nan	-nan
30	6444.371000	135331.791000	-nan	-nan
31	5203.113000	111294.583894	-nan	-nan
32	4730.645000	102938.836283	-nan	-nan
33	7158.409000	158272.427359	-nan	-nan
34	4974.842000	111635.457137	-nan	-nan
35	18194.602000	413927.195500	-nan	-nan
36	12484.551000	287644.066470	-nan	-nan
37	18806.870000	438388.129656	-nan	-nan
38	8436.025000	198752.744495	-nan	-nan
39	296192.640000	7046423.176772	-nan	-nan
40	4036.338000	96872.112000	-nan	-nan
41	3984.423000	96383.194498	-nan	-nan
42	27617.260000	672756.470456	-nan	-nan
43	16886.804000	413895.569905	-nan	-nan
44	20143.276000	496330.308346	-nan	-nan
45	2530.938000	62640.715500	-nan	-nan
46	191659.936000	4760832.839485	-nan	-nan
47	4462.439000	111159.354809	-nan	-nan
48	11035.681000	275450.587657	-nan	-nan
49	20781.968000	519341.375563	-nan	-nan
50	1855.830000	92791.500000	-nan	-nan
