TMRCA	Mean  = 3.280014	Stdev = 3.703553	95%CI = 0.779054 11.839389
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	254516.960000	251971.792827	-nan	-nan
2	140083.456000	274563.579104	-nan	-nan
3	98414.208000	286385.353727	-nan	-nan
4	72505.792000	278422.235057	-nan	-nan
5	55545.528000	263841.258000	-nan	-nan
6	65619.052000	370091.444519	-nan	-nan
7	42125.928000	274239.800922	-nan	-nan
8	40870.852000	300809.476177	-nan	-nan
9	35033.168000	286921.631219	-nan	-nan
10	34211.500000	307903.500000	-nan	-nan
11	26654.012000	260942.776463	-nan	-nan
12	29933.520000	316097.983761	-nan	-nan
13	20794.292000	235183.451246	-nan	-nan
14	26919.856000	324115.065213	-nan	-nan
15	23043.516000	293804.829000	-nan	-nan
16	27572.708000	370577.183950	-nan	-nan
17	22317.008000	314892.975218	-nan	-nan
18	24885.916000	367316.125856	-nan	-nan
19	19288.876000	296855.808262	-nan	-nan
20	20630.060000	330080.960000	-nan	-nan
21	22267.100000	369411.192398	-nan	-nan
22	18084.184000	310324.594681	-nan	-nan
23	22384.594000	396431.139246	-nan	-nan
24	21350.360000	389430.561513	-nan	-nan
25	18964.324000	355581.075000	-nan	-nan
26	23509.306000	452319.042059	-nan	-nan
27	15207.498000	299739.771657	-nan	-nan
28	14838.687000	299147.927656	-nan	-nan
29	19792.132000	407520.000900	-nan	-nan
30	18973.168000	398436.528000	-nan	-nan
31	20372.460000	435766.906966	-nan	-nan
32	17038.744000	370763.073340	-nan	-nan
33	21255.844000	469966.723814	-nan	-nan
34	16235.047000	364314.463350	-nan	-nan
35	11571.481000	263251.192750	-nan	-nan
36	14691.688000	338496.504971	-nan	-nan
37	13374.190000	311752.361757	-nan	-nan
38	18936.164000	446136.013727	-nan	-nan
39	17632.400000	419474.812143	-nan	-nan
40	23127.606000	555062.544000	-nan	-nan
41	15717.386000	380203.575734	-nan	-nan
42	11902.574000	289946.709905	-nan	-nan
43	26018.224000	637706.676195	-nan	-nan
44	17294.666000	426140.559684	-nan	-nan
45	26209.980000	648697.005000	-nan	-nan
46	17835.428000	443032.034241	-nan	-nan
47	15675.089000	390466.464598	-nan	-nan
48	22980.208000	573585.970641	-nan	-nan
49	15681.503000	391880.756381	-nan	-nan
50	7421.675000	371083.750000	-nan	-nan
