TMRCA	Mean  = nan	Stdev = nan	95%CI = nan nan
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	35179.384000	34827.590495	-nan	-nan
2	17555.724000	34409.219710	-nan	-nan
3	13371.702000	38911.653968	-nan	-nan
4	8894.791000	34155.996677	-nan	-nan
5	6772.326000	32168.548500	-nan	-nan
6	5931.217000	33452.063088	-nan	-nan
7	6768.919000	44065.664239	-nan	-nan
8	4996.115000	36771.407067	-nan	-nan
9	3373.890000	27632.157684	-nan	-nan
10	5958.548000	53626.932000	-nan	-nan
11	4927.069000	48236.005322	-nan	-nan
12	3016.926000	31858.739826	-nan	-nan
13	4058.523000	45901.896833	-nan	-nan
14	4177.703000	50299.543961	-nan	-nan
15	2468.481000	31473.132750	-nan	-nan
16	3028.465000	40702.568329	-nan	-nan
17	2248.936000	31732.486188	-nan	-nan
18	2199.982000	32471.734824	-nan	-nan
19	2705.511000	41637.815219	-nan	-nan
20	1616.219000	25859.504000	-nan	-nan
21	2783.079000	46171.281035	-nan	-nan
22	2626.286000	45067.067359	-nan	-nan
23	1956.142000	34643.273029	-nan	-nan
24	952.187000	17367.890662	-nan	-nan
25	1831.602000	34342.537500	-nan	-nan
26	2859.972000	55025.860625	-nan	-nan
27	2873.956000	56645.670129	-nan	-nan
28	1891.819000	38139.070751	-nan	-nan
29	1476.900000	30409.371225	-nan	-nan
30	1139.169000	23922.549000	-nan	-nan
31	3399.559000	72716.564935	-nan	-nan
32	2576.842000	56072.082510	-nan	-nan
33	2528.999000	55916.169434	-nan	-nan
34	1298.754000	29144.040454	-nan	-nan
35	1001.713000	22788.970750	-nan	-nan
36	1184.888000	27299.820605	-nan	-nan
37	1873.698000	43675.899379	-nan	-nan
38	1521.171000	35838.787948	-nan	-nan
39	757.368000	18017.785413	-nan	-nan
40	818.523000	19644.552000	-nan	-nan
41	1000.500000	24202.095534	-nan	-nan
42	1321.789000	32198.780847	-nan	-nan
43	1984.700000	48644.997454	-nan	-nan
44	1072.697000	26431.253425	-nan	-nan
45	2260.797000	55954.725750	-nan	-nan
46	1059.228000	26311.223682	-nan	-nan
47	768.548000	19144.530563	-nan	-nan
48	1490.987000	37215.034155	-nan	-nan
49	1673.486000	41820.414757	-nan	-nan
50	876.371000	43818.550000	-nan	-nan
