TMRCA	Mean  = 2.662137	Stdev = 2.055548	95%CI = 0.692435 8.418079
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	43367.392000	42933.718494	-nan	-nan
2	22170.408000	43454.000526	-nan	-nan
3	16158.392000	47020.922107	-nan	-nan
4	11603.207000	44556.313884	-nan	-nan
5	9533.275000	45283.056250	-nan	-nan
6	7866.175000	44365.225950	-nan	-nan
7	7347.233000	47830.488512	-nan	-nan
8	6466.325000	47592.152863	-nan	-nan
9	7152.528000	58579.201319	-nan	-nan
10	5498.404000	49485.636000	-nan	-nan
11	5023.908000	49184.059128	-nan	-nan
12	4587.209000	48440.928965	-nan	-nan
13	4204.290000	47550.521664	-nan	-nan
14	4100.120000	49365.444644	-nan	-nan
15	3793.655000	48369.101250	-nan	-nan
16	4022.143000	54057.600232	-nan	-nan
17	2852.635000	40250.678871	-nan	-nan
18	2788.163000	41153.286518	-nan	-nan
19	3398.668000	52305.501687	-nan	-nan
20	4712.055000	75392.880000	-nan	-nan
21	3153.974000	52324.429141	-nan	-nan
22	3311.669000	56828.239535	-nan	-nan
23	2677.614000	47420.541489	-nan	-nan
24	3898.489000	71108.438468	-nan	-nan
25	2452.091000	45976.706250	-nan	-nan
26	2099.755000	40399.285719	-nan	-nan
27	2248.701000	44321.894651	-nan	-nan
28	2476.239000	49920.977862	-nan	-nan
29	2841.249000	58501.317344	-nan	-nan
30	3279.151000	68862.171000	-nan	-nan
31	2344.021000	50138.607759	-nan	-nan
32	3658.270000	79603.956037	-nan	-nan
33	1747.198000	38630.548846	-nan	-nan
34	2796.955000	62763.671694	-nan	-nan
35	2168.570000	49334.967500	-nan	-nan
36	2617.531000	60307.916636	-nan	-nan
37	2722.353000	63458.046976	-nan	-nan
38	2044.328000	48164.366588	-nan	-nan
39	3133.856000	74554.437109	-nan	-nan
40	3284.048000	78817.152000	-nan	-nan
41	1603.916000	38798.728897	-nan	-nan
42	2151.879000	52419.773753	-nan	-nan
43	2046.569000	50161.406658	-nan	-nan
44	2047.389000	50447.663710	-nan	-nan
45	1928.656000	47734.236000	-nan	-nan
46	1939.737000	48183.067376	-nan	-nan
47	2253.094000	56124.571196	-nan	-nan
48	3005.376000	75014.182208	-nan	-nan
49	1503.327000	37568.141386	-nan	-nan
50	1131.615000	56580.750000	-nan	-nan
