TMRCA	Mean  = 1.551118	Stdev = 0.599861	95%CI = 0.635005 2.903788
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	41701.332000	41284.319078	-nan	-nan
2	20671.744000	40516.619029	-nan	-nan
3	13569.279000	39486.603055	-nan	-nan
4	10184.287000	39107.661206	-nan	-nan
5	8079.862000	38379.344500	-nan	-nan
6	7068.947000	39868.860136	-nan	-nan
7	6049.952000	39385.188905	-nan	-nan
8	4746.323000	34932.937914	-nan	-nan
9	4847.924000	39704.495526	-nan	-nan
10	4378.715000	39408.435000	-nan	-nan
11	3788.946000	37093.781195	-nan	-nan
12	3771.767000	39829.861103	-nan	-nan
13	3209.274000	36296.890287	-nan	-nan
14	3041.028000	36613.977004	-nan	-nan
15	2769.513000	35311.290750	-nan	-nan
16	2481.368000	33349.584879	-nan	-nan
17	2998.574000	42309.878111	-nan	-nan
18	2328.129000	34363.184573	-nan	-nan
19	2421.880000	37272.734031	-nan	-nan
20	1921.063000	30737.008000	-nan	-nan
21	2046.895000	33957.988362	-nan	-nan
22	2157.388000	37020.777751	-nan	-nan
23	1976.862000	35010.224210	-nan	-nan
24	1771.075000	32304.407595	-nan	-nan
25	1546.876000	29003.925000	-nan	-nan
26	1339.758000	25776.943613	-nan	-nan
27	1633.489000	32196.066694	-nan	-nan
28	1557.732000	31403.876882	-nan	-nan
29	1285.789000	26474.395706	-nan	-nan
30	1607.703000	33761.763000	-nan	-nan
31	1357.559000	29038.186181	-nan	-nan
32	1732.472000	37698.591117	-nan	-nan
33	1769.273000	39118.627110	-nan	-nan
34	1290.769000	28964.857049	-nan	-nan
35	1443.157000	32831.821750	-nan	-nan
36	1745.394000	40213.879358	-nan	-nan
37	1527.827000	35613.646554	-nan	-nan
38	1395.863000	32886.531535	-nan	-nan
39	1679.175000	39947.574787	-nan	-nan
40	951.041000	22824.984000	-nan	-nan
41	1045.221000	25283.896548	-nan	-nan
42	1669.568000	40670.677499	-nan	-nan
43	1213.706000	29747.934338	-nan	-nan
44	1708.522000	42097.981037	-nan	-nan
45	1132.748000	28035.513000	-nan	-nan
46	1059.460000	26316.986562	-nan	-nan
47	884.512000	22033.193785	-nan	-nan
48	1485.930000	37088.811440	-nan	-nan
49	1521.721000	38027.807442	-nan	-nan
50	544.762000	27238.100000	-nan	-nan
