TMRCA	Mean  = 1.759256	Stdev = 0.860177	95%CI = 0.636787 3.887730
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	242758.976000	240331.388555	-nan	-nan
2	123925.008000	242893.020407	-nan	-nan
3	82806.264000	240966.235347	-nan	-nan
4	60575.712000	232610.728881	-nan	-nan
5	52531.124000	249522.839000	-nan	-nan
6	41393.804000	233461.049033	-nan	-nan
7	33337.684000	217028.330470	-nan	-nan
8	32493.538000	239152.444018	-nan	-nan
9	26482.610000	216892.564787	-nan	-nan
10	26963.574000	242672.166000	-nan	-nan
11	23808.128000	233081.572212	-nan	-nan
12	21122.140000	223049.807263	-nan	-nan
13	21871.980000	247372.102978	-nan	-nan
14	18318.996000	220560.711141	-nan	-nan
15	16364.306000	208644.901500	-nan	-nan
16	21996.708000	295635.746290	-nan	-nan
17	14038.282000	198080.154200	-nan	-nan
18	12903.503000	190455.707233	-nan	-nan
19	11475.871000	176613.658630	-nan	-nan
20	13567.296000	217076.736000	-nan	-nan
21	12593.855000	208932.056372	-nan	-nan
22	15738.786000	270077.565358	-nan	-nan
23	11248.412000	199209.366222	-nan	-nan
24	10462.350000	190833.261605	-nan	-nan
25	12349.749000	231557.793750	-nan	-nan
26	11968.005000	230264.413461	-nan	-nan
27	10469.580000	206355.412215	-nan	-nan
28	9912.657000	199839.163607	-nan	-nan
29	8286.854000	170626.325124	-nan	-nan
30	9701.771000	203737.191000	-nan	-nan
31	9998.843000	213875.245667	-nan	-nan
32	9252.157000	201326.938438	-nan	-nan
33	11222.132000	248121.345369	-nan	-nan
34	8563.347000	192161.511253	-nan	-nan
35	9177.542000	208789.080500	-nan	-nan
36	7780.451000	179261.598163	-nan	-nan
37	9462.557000	220572.198616	-nan	-nan
38	10230.079000	241020.655777	-nan	-nan
39	10876.890000	258761.223058	-nan	-nan
40	9654.812000	231715.488000	-nan	-nan
41	9558.655000	231223.869555	-nan	-nan
42	7633.738000	185957.862339	-nan	-nan
43	8347.679000	204601.614201	-nan	-nan
44	7717.523000	190159.762010	-nan	-nan
45	8600.140000	212853.465000	-nan	-nan
46	8153.248000	202526.681564	-nan	-nan
47	7196.324000	179260.429742	-nan	-nan
48	7873.777000	196529.466711	-nan	-nan
49	10299.323000	257380.079413	-nan	-nan
50	4695.616000	234780.800000	-nan	-nan
