TMRCA	Mean  = 5.255670	Stdev = 6.814249	95%CI = 0.876882 25.685510
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	47213.896000	46741.757490	-nan	-nan
2	25652.386000	50278.677539	-nan	-nan
3	18430.556000	53632.919542	-nan	-nan
4	14185.436000	54472.073022	-nan	-nan
5	14074.655000	66854.611250	-nan	-nan
6	12420.927000	70054.026622	-nan	-nan
7	13232.374000	86142.757769	-nan	-nan
8	11590.273000	85304.410827	-nan	-nan
9	7284.870000	59663.082243	-nan	-nan
10	6691.051000	60219.459000	-nan	-nan
11	7364.136000	72094.891159	-nan	-nan
12	5019.001000	53000.652666	-nan	-nan
13	4728.069000	53474.462374	-nan	-nan
14	7405.828000	89166.168837	-nan	-nan
15	6601.155000	84164.726250	-nan	-nan
16	6665.500000	89584.317203	-nan	-nan
17	8944.990000	126213.805829	-nan	-nan
18	8272.918000	122108.271574	-nan	-nan
19	4344.714000	66865.149952	-nan	-nan
20	5233.302000	83732.832000	-nan	-nan
21	7952.752000	131936.156893	-nan	-nan
22	2494.896000	42812.414979	-nan	-nan
23	4886.671000	86542.938936	-nan	-nan
24	4912.643000	89606.607196	-nan	-nan
25	3784.911000	70967.081250	-nan	-nan
26	4962.837000	95484.982744	-nan	-nan
27	6035.485000	118959.403824	-nan	-nan
28	4435.507000	89419.820443	-nan	-nan
29	4176.592000	85996.029917	-nan	-nan
30	4685.032000	98385.672000	-nan	-nan
31	3191.432000	68264.728532	-nan	-nan
32	4227.680000	91994.317768	-nan	-nan
33	3420.029000	75616.843277	-nan	-nan
34	3339.375000	74935.576783	-nan	-nan
35	6649.681000	151280.242750	-nan	-nan
36	4885.884000	112570.771833	-nan	-nan
37	4162.179000	97020.390267	-nan	-nan
38	5386.692000	126910.460643	-nan	-nan
39	4211.692000	100196.156536	-nan	-nan
40	7299.142000	175179.408000	-nan	-nan
41	5259.910000	127237.225709	-nan	-nan
42	5416.197000	131938.562226	-nan	-nan
43	4445.919000	108969.475708	-nan	-nan
44	7748.935000	190933.753670	-nan	-nan
45	2340.050000	57916.237500	-nan	-nan
46	3885.550000	96517.062593	-nan	-nan
47	1898.719000	47297.090000	-nan	-nan
48	6275.753000	156642.789134	-nan	-nan
49	5504.673000	137561.777010	-nan	-nan
50	1057.728000	52886.400000	-nan	-nan
