TMRCA	Mean  = 0.908993	Stdev = 0.193826	95%CI = 0.534301 1.223404
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	226.115000	223.853852	231.144011	228.832575
2	108.778000	213.204884	119.451937	234.125803
3	71.121000	206.962116	74.809037	217.694305
4	50.633000	194.430716	71.975955	276.387666
5	39.202000	186.209500	28.655581	136.114011
6	31.522000	177.784076	28.273042	159.459952
7	25.735000	167.534856	24.905804	162.136792
8	23.838000	175.447683	26.346877	193.913015
9	19.332000	158.329072	22.692746	185.853586
10	19.654000	176.886000	24.138329	217.244964
11	15.536000	152.097439	22.553389	220.797680
12	14.184000	149.783046	20.483841	216.309369
13	13.979000	158.102496	22.270710	251.881742
14	12.746000	153.461840	21.607415	260.153266
15	11.455000	146.051250	19.455037	248.051725
16	11.541000	155.111035	19.752328	265.471286
17	9.792000	138.165117	17.837290	251.684150
18	9.307000	137.371322	19.023634	280.788841
19	7.647000	117.687333	16.163776	248.760521
20	8.270000	132.320000	18.397325	294.357198
21	7.196000	119.381641	17.230800	285.858989
22	6.962000	119.467919	15.881208	272.521533
23	8.240000	145.930392	18.857943	333.974160
24	6.502000	118.596479	16.835838	307.085686
25	6.476000	121.425000	15.665658	293.731085
26	6.358000	122.327919	17.203889	331.002824
27	5.063000	99.791725	15.527657	306.050112
28	5.445000	109.771199	13.950326	281.238565
29	5.344000	110.032961	14.421361	296.935820
30	4.998000	104.958000	14.242220	299.086625
31	5.328000	113.965917	14.910357	318.932519
32	4.772000	103.838721	13.517572	294.142363
33	6.117000	135.246874	16.682194	368.843320
34	3.867000	86.775482	12.953420	290.674761
35	5.377000	122.326750	15.726926	357.787571
36	4.807000	110.753284	14.252329	328.373663
37	4.897000	114.149067	14.720363	343.131650
38	3.100000	73.035998	10.114361	238.294336
39	4.548000	108.196924	15.137068	360.110870
40	4.151000	99.624000	14.125216	339.005179
41	4.864000	117.660163	14.710197	355.839672
42	4.006000	97.586162	12.551554	305.755855
43	4.143000	101.544931	13.867980	339.904196
44	3.606000	88.851838	12.422443	306.088981
45	4.333000	107.241750	13.686176	338.732864
46	3.894000	96.726961	13.497739	335.283841
47	2.804000	69.847640	11.132993	277.322853
48	4.017000	100.264316	12.714494	317.353763
49	4.045000	101.084549	14.254619	356.222923
50	2.200000	110.000000	12.172106	608.605291
