TMRCA	Mean  = 3.734451	Stdev = 4.725741	95%CI = 0.758232 16.008075
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	44556.252000	44110.689905	-nan	-nan
2	24107.314000	47250.336360	-nan	-nan
3	17091.390000	49735.946367	-nan	-nan
4	13246.365000	50866.040463	-nan	-nan
5	10341.323000	49121.284250	-nan	-nan
6	9494.283000	53547.754852	-nan	-nan
7	10119.081000	65875.219626	-nan	-nan
8	6563.915000	48310.415276	-nan	-nan
9	7458.418000	61084.440290	-nan	-nan
10	6632.067000	59688.603000	-nan	-nan
11	5143.069000	50350.645314	-nan	-nan
12	5965.173000	62992.229383	-nan	-nan
13	4339.557000	49080.391491	-nan	-nan
14	4654.392000	56038.879502	-nan	-nan
15	4412.497000	56259.336750	-nan	-nan
16	5163.113000	69392.236553	-nan	-nan
17	5368.214000	75745.497697	-nan	-nan
18	5258.651000	77617.689964	-nan	-nan
19	3809.193000	58623.481578	-nan	-nan
20	4762.968000	76207.488000	-nan	-nan
21	4067.912000	67486.660701	-nan	-nan
22	5347.128000	91756.715664	-nan	-nan
23	5422.070000	96024.854736	-nan	-nan
24	4038.895000	73669.443876	-nan	-nan
25	5193.771000	97383.206250	-nan	-nan
26	3481.544000	66984.905763	-nan	-nan
27	3389.149000	66800.123687	-nan	-nan
28	5920.315000	119353.549497	-nan	-nan
29	3143.678000	64728.330500	-nan	-nan
30	4524.897000	95022.837000	-nan	-nan
31	4344.920000	92937.836148	-nan	-nan
32	2162.414000	47054.129135	-nan	-nan
33	4322.784000	95576.756878	-nan	-nan
34	2572.598000	57729.100494	-nan	-nan
35	2980.241000	67800.482750	-nan	-nan
36	2958.256000	68158.220948	-nan	-nan
37	3516.070000	81959.589822	-nan	-nan
38	3089.977000	72799.856470	-nan	-nan
39	2909.772000	69223.478544	-nan	-nan
40	4278.195000	102676.680000	-nan	-nan
41	3540.411000	85642.543981	-nan	-nan
42	3041.506000	74091.088016	-nan	-nan
43	4014.593000	98397.675349	-nan	-nan
44	2020.692000	49789.849647	-nan	-nan
45	1907.335000	47206.541250	-nan	-nan
46	3149.141000	78224.662921	-nan	-nan
47	1805.188000	44967.232805	-nan	-nan
48	3166.630000	79039.081901	-nan	-nan
49	2933.828000	73316.361049	-nan	-nan
50	1893.592000	94679.600000	-nan	-nan
