TMRCA	Mean  = 73.056118	Stdev = 1083.751489	95%CI = 0.968357 184.501646
i	E[Eta_i]     	E[Th_i]      	Stdev[Eta_i]     	Stdev[Th_i]
1	299897.088000	296898.119980	-nan	-nan
2	2047484.160000	4013069.031705	-nan	-nan
3	115152.960000	335095.123484	-nan	-nan
4	169015.136000	649018.107733	-nan	-nan
5	186111.328000	884028.808000	-nan	-nan
6	128509.064000	724791.103802	-nan	-nan
7	65816.072000	428462.643784	-nan	-nan
8	64882.788000	477537.328343	-nan	-nan
9	73018.864000	598024.465520	-nan	-nan
10	56153.916000	505385.244000	-nan	-nan
11	82592.368000	808579.279569	-nan	-nan
12	61477.052000	649197.694917	-nan	-nan
13	110352.160000	1248082.975906	-nan	-nan
14	237082.880000	2854477.866156	-nan	-nan
15	121923.856000	1554529.164000	-nan	-nan
16	53235.456000	715484.506302	-nan	-nan
17	57997.724000	818347.865728	-nan	-nan
18	99173.424000	1463799.760939	-nan	-nan
19	41757.032000	642640.736816	-nan	-nan
20	39500.656000	632010.496000	-nan	-nan
21	718123.328000	11913666.121097	-nan	-nan
22	82818.928000	1421172.791843	-nan	-nan
23	1678884.096000	29733035.803096	-nan	-nan
24	63282.808000	1154278.403436	-nan	-nan
25	150562.224000	2823041.700000	-nan	-nan
26	53225.296000	1024054.682858	-nan	-nan
27	19764.950000	389567.146405	-nan	-nan
28	88989.640000	1794031.128821	-nan	-nan
29	54182.760000	1115623.036668	-nan	-nan
30	54257.744000	1139412.624000	-nan	-nan
31	31288.420000	669259.284703	-nan	-nan
32	93224.816000	2028572.017497	-nan	-nan
33	27991.400000	618889.871085	-nan	-nan
34	263561.456000	5914319.213397	-nan	-nan
35	51803.048000	1178519.342000	-nan	-nan
36	37996.272000	875434.141667	-nan	-nan
37	425910.976000	9927984.623099	-nan	-nan
38	865194.560000	20383983.371536	-nan	-nan
39	185883.648000	4422172.156102	-nan	-nan
40	70117.184000	1682812.416000	-nan	-nan
41	64584.368000	1562295.896412	-nan	-nan
42	64382.544000	1568358.811136	-nan	-nan
43	42785.920000	1048682.908993	-nan	-nan
44	31761.228000	782596.638534	-nan	-nan
45	85099.824000	2106220.644000	-nan	-nan
46	350724.416000	8711994.546956	-nan	-nan
47	50350.384000	1254228.057757	-nan	-nan
48	100988.784000	2520679.956182	-nan	-nan
49	302226.688000	7552644.863946	-nan	-nan
50	592384.128000	29619206.400000	-nan	-nan
